M,E,U,T
0.0,357.0,12.000000000000005,0.03
1.0,259.0,5.499999999999997,0.03
2.0,310.0,12.000000000000005,0.03
3.0,341.0,9.999999999999996,0.03
4.0,331.0,7.000000000000003,0.03
5.0,364.0,22.50000000000001,0.03
6.0,360.0,14.000000000000005,0.03
7.0,335.0,12.5,0.03
8.0,399.0,16.000000000000004,0.03
9.0,334.0,4.500000000000001,0.03
10.0,345.0,9.499999999999998,0.03
11.0,348.0,17.999999999999986,0.03
12.0,379.0,9.499999999999998,0.03
13.0,265.0,9.999999999999996,0.03
14.0,285.0,10.500000000000004,0.03
15.0,306.0,9.499999999999998,0.03
