M,E,U,T
0.0,287.0,10.000000000000004,0.03
1.0,209.0,4.999999999999998,0.03
2.0,250.0,10.000000000000004,0.03
3.0,276.0,8.999999999999996,0.03
4.0,271.0,6.000000000000003,0.03
5.0,299.0,21.000000000000014,0.03
6.0,295.0,12.000000000000005,0.03
7.0,270.0,11.0,0.03
8.0,324.0,14.000000000000005,0.03
9.0,269.0,4.000000000000002,0.03
10.0,280.0,7.999999999999997,0.03
11.0,283.0,16.0,0.03
12.0,309.0,7.999999999999997,0.03
13.0,215.0,8.999999999999996,0.03
14.0,235.0,9.000000000000002,0.03
15.0,246.0,7.999999999999997,0.03
