M,E,U,T
0.0,371.0,12.400000000000006,0.03
1.0,269.0,5.599999999999997,0.03
2.0,322.0,12.400000000000006,0.03
3.0,354.0,10.199999999999996,0.03
4.0,343.0,7.200000000000003,0.03
5.0,377.0,22.80000000000001,0.03
6.0,373.0,14.400000000000006,0.03
7.0,348.0,12.8,0.03
8.0,414.0,16.400000000000002,0.03
9.0,347.0,4.6000000000000005,0.03
10.0,358.0,9.799999999999999,0.03
11.0,361.0,18.39999999999998,0.03
12.0,393.0,9.799999999999999,0.03
13.0,275.0,10.199999999999996,0.03
14.0,295.0,10.800000000000004,0.03
15.0,318.0,9.799999999999999,0.03
