M,E,U,T
0.0,343.0,11.600000000000005,0.03
1.0,249.0,5.399999999999997,0.03
2.0,298.0,11.600000000000005,0.03
3.0,328.0,9.799999999999995,0.03
4.0,319.0,6.8000000000000025,0.03
5.0,351.0,22.20000000000001,0.03
6.0,347.0,13.600000000000005,0.03
7.0,322.0,12.200000000000001,0.03
8.0,384.0,15.600000000000005,0.03
9.0,321.0,4.400000000000001,0.03
10.0,332.0,9.199999999999998,0.03
11.0,335.0,17.59999999999999,0.03
12.0,365.0,9.199999999999998,0.03
13.0,255.0,9.799999999999995,0.03
14.0,275.0,10.200000000000005,0.03
15.0,294.0,9.199999999999998,0.03
