M,E,U,T
0.0,301.0,10.400000000000004,0.03
1.0,219.0,5.099999999999998,0.03
2.0,262.0,10.400000000000004,0.03
3.0,289.0,9.199999999999996,0.03
4.0,283.0,6.200000000000003,0.03
5.0,312.0,21.30000000000001,0.03
6.0,308.0,12.400000000000006,0.03
7.0,283.0,11.3,0.03
8.0,339.0,14.400000000000006,0.03
9.0,282.0,4.100000000000001,0.03
10.0,293.0,8.299999999999997,0.03
11.0,296.0,16.4,0.03
12.0,323.0,8.299999999999997,0.03
13.0,225.0,9.199999999999996,0.03
14.0,245.0,9.300000000000002,0.03
15.0,258.0,8.299999999999997,0.03
