M,E,U,T
0.0,273.0,9.600000000000003,0.03
1.0,199.0,4.899999999999998,0.03
2.0,238.0,9.600000000000003,0.03
3.0,263.0,8.799999999999999,0.03
4.0,259.0,5.8000000000000025,0.03
5.0,286.0,20.700000000000014,0.03
6.0,282.0,11.600000000000005,0.03
7.0,257.0,10.700000000000001,0.03
8.0,309.0,13.600000000000005,0.03
9.0,256.0,3.9000000000000017,0.03
10.0,267.0,7.699999999999998,0.03
11.0,270.0,15.6,0.03
12.0,295.0,7.699999999999998,0.03
13.0,205.0,8.799999999999999,0.03
14.0,225.0,8.700000000000001,0.03
15.0,234.0,7.699999999999998,0.03
