M,E,U,T
0.0,189.0,7.200000000000003,0.03
1.0,139.0,4.3,0.03
2.0,166.0,7.200000000000003,0.03
3.0,185.0,7.600000000000002,0.03
4.0,187.0,4.600000000000001,0.03
5.0,208.0,18.900000000000013,0.03
6.0,204.0,9.200000000000003,0.03
7.0,179.0,8.899999999999999,0.03
8.0,219.0,11.200000000000005,0.03
9.0,178.0,3.300000000000001,0.03
10.0,189.0,5.8999999999999995,0.03
11.0,192.0,13.200000000000001,0.03
12.0,211.0,5.8999999999999995,0.03
13.0,145.0,7.600000000000002,0.03
14.0,165.0,6.8999999999999995,0.03
15.0,162.0,5.8999999999999995,0.03
