M,E,U,T
0.0,119.0,5.200000000000002,0.03
1.0,89.0,3.8000000000000007,0.03
2.0,106.0,5.200000000000002,0.03
3.0,120.0,6.600000000000002,0.03
4.0,127.0,3.600000000000001,0.03
5.0,143.0,17.400000000000002,0.03
6.0,139.0,7.200000000000003,0.03
7.0,114.0,7.3999999999999995,0.03
8.0,144.0,9.200000000000003,0.03
9.0,113.0,2.8000000000000007,0.03
10.0,124.0,4.3999999999999995,0.03
11.0,127.0,11.200000000000001,0.03
12.0,141.0,4.3999999999999995,0.03
13.0,95.0,6.600000000000002,0.03
14.0,115.0,5.3999999999999995,0.03
15.0,102.0,4.3999999999999995,0.03
