M,E,U,T
0.0,581.0,18.39999999999999,0.03
1.0,419.0,7.099999999999997,0.03
2.0,502.0,18.39999999999999,0.03
3.0,549.0,13.199999999999994,0.03
4.0,523.0,10.199999999999996,0.03
5.0,572.0,27.30000000000001,0.03
6.0,568.0,20.39999999999998,0.03
7.0,543.0,17.300000000000008,0.03
8.0,639.0,22.399999999999967,0.03
9.0,542.0,6.099999999999997,0.03
10.0,553.0,14.3,0.03
11.0,556.0,24.399999999999967,0.03
12.0,603.0,14.3,0.03
13.0,425.0,13.199999999999994,0.03
14.0,445.0,15.300000000000006,0.03
15.0,498.0,14.3,0.03
