M,E,U,T
0.0,413.0,13.600000000000005,0.03
1.0,299.0,5.899999999999998,0.03
2.0,358.0,13.600000000000005,0.03
3.0,393.0,10.799999999999995,0.03
4.0,379.0,7.8000000000000025,0.03
5.0,416.0,23.70000000000001,0.03
6.0,412.0,15.600000000000005,0.03
7.0,387.0,13.700000000000001,0.03
8.0,459.0,17.599999999999998,0.03
9.0,386.0,4.8999999999999995,0.03
10.0,397.0,10.700000000000001,0.03
11.0,400.0,19.599999999999973,0.03
12.0,435.0,10.700000000000001,0.03
13.0,305.0,10.799999999999995,0.03
14.0,325.0,11.700000000000005,0.03
15.0,354.0,10.700000000000001,0.03
