M,E,U,T
0.0,385.0,12.800000000000004,0.03
1.0,279.0,5.6999999999999975,0.03
2.0,334.0,12.800000000000004,0.03
3.0,367.0,10.399999999999995,0.03
4.0,355.0,7.400000000000002,0.03
5.0,390.0,23.10000000000001,0.03
6.0,386.0,14.800000000000004,0.03
7.0,361.0,13.100000000000001,0.03
8.0,429.0,16.8,0.03
9.0,360.0,4.7,0.03
10.0,371.0,10.100000000000001,0.03
11.0,374.0,18.79999999999998,0.03
12.0,407.0,10.100000000000001,0.03
13.0,285.0,10.399999999999995,0.03
14.0,305.0,11.100000000000005,0.03
15.0,330.0,10.100000000000001,0.03
