M,E,U,T
0.0,553.0,17.599999999999998,0.03
1.0,399.0,6.899999999999998,0.03
2.0,478.0,17.599999999999998,0.03
3.0,523.0,12.799999999999995,0.03
4.0,499.0,9.799999999999995,0.03
5.0,546.0,26.70000000000001,0.03
6.0,542.0,19.59999999999998,0.03
7.0,517.0,16.700000000000003,0.03
8.0,609.0,21.599999999999973,0.03
9.0,516.0,5.899999999999998,0.03
10.0,527.0,13.700000000000001,0.03
11.0,530.0,23.599999999999966,0.03
12.0,575.0,13.700000000000001,0.03
13.0,405.0,12.799999999999995,0.03
14.0,425.0,14.700000000000005,0.03
15.0,474.0,13.700000000000001,0.03
