M,E,U,T
0.0,329.0,11.200000000000005,0.03
1.0,239.0,5.299999999999997,0.03
2.0,286.0,11.200000000000005,0.03
3.0,315.0,9.599999999999996,0.03
4.0,307.0,6.600000000000002,0.03
5.0,338.0,21.90000000000001,0.03
6.0,334.0,13.200000000000005,0.03
7.0,309.0,11.9,0.03
8.0,369.0,15.200000000000005,0.03
9.0,308.0,4.300000000000001,0.03
10.0,319.0,8.899999999999999,0.03
11.0,322.0,17.199999999999992,0.03
12.0,351.0,8.899999999999999,0.03
13.0,245.0,9.599999999999996,0.03
14.0,265.0,9.900000000000004,0.03
15.0,282.0,8.899999999999999,0.03
