M,E,U,T
0.0,525.0,16.8,0.03
1.0,379.0,6.6999999999999975,0.03
2.0,454.0,16.8,0.03
3.0,497.0,12.399999999999995,0.03
4.0,475.0,9.399999999999995,0.03
5.0,520.0,26.10000000000001,0.03
6.0,516.0,18.799999999999986,0.03
7.0,491.0,16.1,0.03
8.0,579.0,20.79999999999998,0.03
9.0,490.0,5.6999999999999975,0.03
10.0,501.0,13.100000000000001,0.03
11.0,504.0,22.799999999999965,0.03
12.0,547.0,13.100000000000001,0.03
13.0,385.0,12.399999999999995,0.03
14.0,405.0,14.100000000000005,0.03
15.0,450.0,13.100000000000001,0.03
