M,E,U,T
0.0,315.0,10.800000000000004,0.03
1.0,229.0,5.1999999999999975,0.03
2.0,274.0,10.800000000000004,0.03
3.0,302.0,9.399999999999995,0.03
4.0,295.0,6.400000000000002,0.03
5.0,325.0,21.600000000000012,0.03
6.0,321.0,12.800000000000004,0.03
7.0,296.0,11.600000000000001,0.03
8.0,354.0,14.800000000000004,0.03
9.0,295.0,4.200000000000001,0.03
10.0,306.0,8.599999999999998,0.03
11.0,309.0,16.799999999999997,0.03
12.0,337.0,8.599999999999998,0.03
13.0,235.0,9.399999999999995,0.03
14.0,255.0,9.600000000000003,0.03
15.0,270.0,8.599999999999998,0.03
