M,E,U,T
0.0,483.0,15.600000000000005,0.03
1.0,349.0,6.399999999999998,0.03
2.0,418.0,15.600000000000005,0.03
3.0,458.0,11.799999999999995,0.03
4.0,439.0,8.799999999999999,0.03
5.0,481.0,25.20000000000001,0.03
6.0,477.0,17.599999999999998,0.03
7.0,452.0,15.200000000000001,0.03
8.0,534.0,19.59999999999998,0.03
9.0,451.0,5.399999999999998,0.03
10.0,462.0,12.200000000000001,0.03
11.0,465.0,21.599999999999966,0.03
12.0,505.0,12.200000000000001,0.03
13.0,355.0,11.799999999999995,0.03
14.0,375.0,13.200000000000005,0.03
15.0,414.0,12.200000000000001,0.03
